top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
40. Geçmişin gölgesinde,8.5,1998,1h 59m,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",Tony Kaye,David Mc,"Edward Norton,Edward Furlong,Beverly D"
41. Sevginin Gücü,8.5,1994,1h 50m,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Luc Besson,"Jean Reno,Gary Oldman,Natalie Portman"
42. Ateşböceklerinin Mezarı,8.5,1988,1h 28m,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"Akiyuki Nosaka,Isao Takahata","Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi"
43. Prestij,8.5,2006,2h 10m,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,Christopher Priest","Christian Bale,Hugh Jackman,Scarlett Johansson"
44. Seppuku,8.6,1962,2h 13m,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"Yasuhiko Takiguchi,Shinobu Hashimoto","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita"
45. Dune: Çöl Gezegeni Bölüm İki,8.5,2024,2h 46m,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Denis Villeneuve,"Denis Villeneuve,Jon Spaihts,Frank Herbert",Rebecca Ferguson
46. Olağan Şüpheliler,8.5,1995,1h 46m,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,Christopher Mc,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri"
47. Casablanca,8.5,1942,1h 42m,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"Julius J,Howard Koch,Murray Burnett","Humphrey Bogart,Ingrid Bergman,Paul Henreid"
48. Can Dostum,8.5,2011,1h 52m,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,"Olivier Nakache,Philippe Pozzo","Omar Sy,Anne Le"
49. Cennet Sineması,8.5,1988,2h 54m,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Giuseppe Tornatore,"Giuseppe Tornatore,Vanna Paoli","Philippe Noiret,Enzo Cannavale,Antonella Attili"
50. Asri Zamanlar,8.5,1936,1h 27m,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,"Charles Chaplin,Paulette Goddard,Henry Bergman"
51. Yaratık,8.5,1979,1h 57m,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Ridley Scott,"Dan O,Ronald Shusett","Sigourney Weaver,Tom Skerritt,John Hurt"
52. Arka Pencere,8.5,1954,1h 52m,"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer.",Alfred Hitchcock,"John Michael Hayes,Cornell Woolrich","James Stewart,Grace Kelly,Wendell Corey"
53. Batıda Kan Var,8.5,1968,2h 46m,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,"Sergio Donati,Sergio Leone,Dario Argento","Henry Fonda,Charles Bronson,Claudia Cardinale"
54. Şehir Işıkları,8.5,1931,1h 27m,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin,Harry Carr,Harry Crocker","Charles Chaplin,Virginia Cherrill,Florence Lee"
55. Zincirsiz,8.5,2012,2h 45m,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo Di"
56. Kıyamet,8.4,1979,2h 27m,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"John Milius,Francis Ford Coppola,Michael Herr","Martin Sheen,Marlon Brando,Robert Duvall"
57. Akıl Defteri,8.4,2000,1h 53m,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",Christopher Nolan,"Christopher Nolan,Jonathan Nolan","Guy Pearce,Anne Moss,Joe Pantoliano"
58. VOL·i,8.4,2008,1h 38m,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton,"Andrew Stanton,Pete Docter,Jim Reardon","Ben Burtt,Elissa Knight,Jeff Garlin"
59. Kutsal Hazine Avcıları,8.4,1981,1h 55m,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Steven Spielberg,"Lawrence Kasdan,George Lucas,Philip Kaufman","Harrison Ford,Karen Allen,Paul Freeman"
60. Bitmeyen Sınav,8.9,2023,2h 27m,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,"Vidhu Vinod Chopra,Jaskunwar Kohli,Anurag Pathak","Vikrant Massey,Medha Shankr,Anant Joshi"
61. Başkalarının Hayatı,8.4,2006,2h 17m,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Florian Henckel,"Ulrich M,Martina Gedeck,Sebastian Koch"
62. Sunset Bulvarı,8.4,1950,1h 50m,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"Charles Brackett,Billy Wilder,Marshman Jr","William Holden,Gloria Swanson"
63. Yenilmezler: Sonsuzluk Savaşı,8.4,2018,2h 29m,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,"Christopher Markus,Stephen Mc,Stan Lee","Robert Downey,Chris Hemsworth,Mark Ruffalo"
64. Zafer Yolları,8.4,1957,1h 28m,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick,"Stanley Kubrick,Calder Willingham,Jim Thompson","Kirk Douglas,Ralph Meeker,Adolphe Menjou"
65. Örümcek Adam: Örümcek Evreninde,8.4,2018,1h 57m,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti,"Phil Lord,Rodney Rothman","Shameik Moore,Jake Johnson,Hailee Steinfeld"
66. Beklenmeyen Şahit,8.4,1957,1h 56m,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"Agatha Christie,Billy Wilder,Harry Kurnitz","Tyrone Power,Marlene Dietrich,Charles Laughton"
67. Cinnet,8.4,1980,2h 26m,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Stanley Kubrick,"Stephen King,Stanley Kubrick,Diane Johnson","Jack Nicholson,Shelley Duvall,Danny Lloyd"
68. Şarlo Diktatör,8.4,1940,2h 5m,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,"Charles Chaplin,Paulette Goddard,Jack Oakie"
69. Yaratık 2: Yaratığın Dönüşü,8.4,1986,2h 17m,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron,"James Cameron,David Giler,Walter Hill","Sigourney Weaver,Michael Biehn,Carrie Henn"
70. Soysuzlar Çetesi,8.4,2009,2h 33m,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth"
71. Kara Şövalye Yükseliyor,8.4,2012,2h 44m,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,David S","Christian Bale,Tom Hardy,Anne Hathaway"
72. Coco,8.4,2017,1h 45m,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,"Lee Unkrich,Jason Katz,Matthew Aldrich","Anthony Gonzalez,Gael Garc,Benjamin Bratt"
73. Amadeus,8.4,1984,2h 40m,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"Peter Shaffer,Zdenek Mahler","Murray Abraham,Tom Hulce,Elizabeth Berridge"
74. Oyuncak Hikayesi,8.3,1995,1h 21m,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"John Lasseter,Pete Docter,Andrew Stanton","Tom Hanks,Tim Allen,Don Rickles"
75. Garip Doktor,8.3,1964,1h 35m,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"Stanley Kubrick,Terry Southern,Peter George","Peter Sellers,George C,Sterling Hayden"
76. İhtiyar Delikanlı,8.3,2003,2h,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook,"Garon Tsuchiya,Nobuaki Minegishi,Park Chan","Choi Min,Yoo Ji,Kang Hye"
77. Amerikan Güzelliği,8.3,1999,2h 2m,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,Alan Ball,"Kevin Spacey,Annette Bening,Thora Birch"
78. Yenilmezler: Son Oyun,8.4,2019,3h 1m,"After the devastating events of Yenilmezler: Sonsuzluk Savaşı (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"Christopher Markus,Stephen Mc,Stan Lee","Robert Downey,Chris Evans,Mark Ruffalo"
79. U-Bot: Denizaltı,8.4,1981,2h 29m,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,"Wolfgang Petersen,Lothar G","Herbert Gr,Klaus Wennemann"
80. Cesur Yürek,8.3,1995,2h 58m,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,"Mel Gibson,Sophie Marceau,Patrick Mc"
81. Can Dostum,8.3,1997,2h 6m,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"Matt Damon,Ben Affleck","Robin Williams,Matt Damon,Ben Affleck"
82. Prenses Mononoke,8.3,1997,2h 13m,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"Hayao Miyazaki,Neil Gaiman",Yuriko Ishida
83. Joker,8.4,2019,2h 2m,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.",Todd Phillips,"Todd Phillips,Scott Silver,Bob Kane","Joaquin Phoenix,Robert De,Zazie Beetz"
84. Senin Adın,8.4,2016,1h 46m,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,"Makoto Shinkai,Clark Cheng","Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita"
85. Yüksek ve Alçak,8.4,1963,2h 23m,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,Hideo Oguni,"Yutaka Sada,Tatsuya Nakadai"
86. 3 Ahmak,8.4,2009,2h 50m,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Abhijat Joshi,Rajkumar Hirani,Vidhu Vinod Chopra","Aamir Khan,Mona Singh"
87. Bir Zamanlar Amerika,8.3,1984,3h 49m,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,"Harry Grey,Leonardo Benvenuti,Piero De Bernardi","Robert De,James Woods,Elizabeth Mc"
88. Yağmur Altında,8.3,1952,1h 43m,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen,"Betty Comden,Adolph Green","Gene Kelly,Donald O,Debbie Reynolds"
89. Kefernahum,8.4,2018,2h 6m,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Nadine Labaki,Jihad Hojeily,Michelle Keserwany","Zain Al,Yordanos Shiferaw,Boluwatife Treasure"
90. Gel ve Gör,8.4,1985,2h 22m,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,"Ales Adamovich,Elem Klimov","Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius"
91. Bir Rüya İçin Ağıt,8.3,2000,1h 42m,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Darren Aronofsky,"Hubert Selby Jr,Darren Aronofsky","Ellen Burstyn,Jared Leto,Jennifer Connelly"
92. Oyuncak Hikayesi 3,8.3,2010,1h 43m,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"John Lasseter,Andrew Stanton,Lee Unkrich","Tom Hanks,Tim Allen,Joan Cusack"
93. Yıldız Savaşları: Jedi'nin Dönüşü,8.3,1983,2h 11m,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,"Lawrence Kasdan,George Lucas","Mark Hamill,Harrison Ford,Carrie Fisher"
94. Sil Baştan,8.3,2004,1h 48m,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry,"Charlie Kaufman,Michel Gondry,Pierre Bismuth","Jim Carrey,Kate Winslet,Tom Wilkinson"
95. Onur Savaşı,8.3,2012,1h 55m,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"Thomas Vinterberg,Tobias Lindholm","Mads Mikkelsen,Thomas Bo,Annika Wedderkopp"
96. 2001: Uzay Yolu Macerası,8.3,1968,2h 29m,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",Stanley Kubrick,"Stanley Kubrick,Arthur C","Keir Dullea,Gary Lockwood,William Sylvester"
97. Yaşamak,8.3,1952,2h 23m,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni","Takashi Shimura,Nobuo Kaneko"
98. Rezervuar Köpekleri,8.3,1992,1h 39m,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"Quentin Tarantino,Roger Avary","Harvey Keitel,Tim Roth,Michael Madsen"
99. Lawrence of Arabia,8.3,1962,3h 38m,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,"Robert Bolt,Michael Wilson","Peter O,Alec Guinness,Anthony Quinn"
100. Garsoniyer,8.3,1960,2h 5m,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder,Billy Wilder,"Jack Lemmon,Shirley Mac,Fred Mac"
101. İçimdeki Yangın,8.3,2010,2h 11m,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"Wajdi Mouawad,Denis Villeneuve","Lubna Azabal,Maxim Gaudette"
102. Gizli Teşkilât,8.3,1959,2h 16m,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,"Ernest Lehman,Gerald Devri","Cary Grant,Eva Marie,James Mason"
103. Yaralı Yüz,8.3,1983,2h 50m,"Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",Brian De Palma,"Oliver Stone,Howard Hawks,Ben Hecht","Al Pacino,Michelle Pfeiffer,Steven Bauer"
104. Oppenheimer,8.3,2023,3h,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,"Christopher Nolan,Kai Bird,Martin Sherwin","Cillian Murphy,Emily Blunt,Matt Damon"
105. Çifte Tazminat,8.3,1944,1h 47m,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder,"Billy Wilder,Raymond Chandler,James M","Fred Mac,Barbara Stanwyck,Edward G"
106. Yurttaş Kane,8.3,1941,1h 59m,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,"Herman J,Orson Welles,John Houseman","Orson Welles,Joseph Cotten,Dorothy Comingore"
107. Bir Şehir Katilini Arıyor,8.3,1931,1h 57m,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"Fritz Lang,Egon Jacobsohn","Peter Lorre,Ellen Widmann,Inge Landgut"
108. Ölüm Korkusu,8.3,1958,2h 8m,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"Alec Coppel,Samuel A,Pierre Boileau","James Stewart,Kim Novak,Barbara Bel"
109. Full Metal Jacket,8.2,1987,1h 56m,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"Stanley Kubrick,Michael Herr,Gustav Hasford","Matthew Modine,Lee Ermey,Vincent D"
110. Büyük Hesaplaşma,8.3,1995,2h 50m,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,Michael Mann,"Al Pacino,Robert De,Val Kilmer"
111. Amelie,8.3,2001,2h 2m,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",Jean-Pierre Jeunet,"Guillaume Laurant,Pierre Jeunet","Audrey Tautou,Mathieu Kassovitz"
112. Yukarı Bak,8.3,2009,1h 36m,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,"Pete Docter,Bob Peterson,Tom Mc","Edward Asner,Jordan Nagai,John Ratzenberger"
113. Otomatik Portakal,8.2,1971,2h 16m,Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick,"Stanley Kubrick,Anthony Burgess","Malcolm Mc,Patrick Magee,Michael Bates"
114. Bülbülü Öldürmek,8.3,1962,2h 9m,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",Robert Mulligan,"Harper Lee,Horton Foote","Gregory Peck,John Megna,Frank Overton"
115. Bir Ayrılık,8.3,2011,2h 3m,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Asghar Farhadi,"Payman Maadi,Leila Hatami,Sareh Bayat"
116. Belalılar,8.3,1973,2h 9m,Two grifters team up to pull off the ultimate con.,George Roy Hill,David S,"Paul Newman,Robert Redford,Robert Shaw"
117. Zor Ölüm,8.2,1988,2h 12m,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Roderick Thorp,Jeb Stuart,Steven E","Bruce Willis,Alan Rickman,Bonnie Bedelia"
118. Indiana Jones: Son Macera,8.2,1989,2h 7m,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,"Jeffrey Boam,George Lucas,Menno Meyjes","Harrison Ford,Sean Connery,Alison Doody"
119. Her Çocuk Özeldir,8.3,2007,2h 42m,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Aamir Khan,Amole Gupte,"Darsheel Safary,Aamir Khan,Tisca Chopra"
120. Metropolis,8.3,1927,2h 33m,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,Fritz Lang,"Brigitte Helm,Alfred Abel,Gustav Fr"
121. Kapışma,8.2,2000,1h 44m,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,Guy Ritchie,"Jason Statham,Brad Pitt,Stephen Graham"
122. 1917,8.2,2019,1h 59m,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"Sam Mendes,Krysty Wilson","Charles Chapman,George Mac,Daniel Mays"
123. Los Angeles Sırları,8.2,1997,2h 18m,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"James Ellroy,Brian Helgeland,Curtis Hanson","Kevin Spacey,Russell Crowe,Guy Pearce"
124. Bisiklet Hırsızları,8.3,1948,1h 29m,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"Cesare Zavattini,Luigi Bartolini,Oreste Biancoli","Lamberto Maggiorani,Enzo Staiola,Lianella Carell"
125. Hamilton,8.3,2020,2h 40m,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"Manuel Miranda,Ron Chernow","Manuel Miranda,Phillipa Soo,Leslie Odom"
126. Çöküş,8.2,2004,2h 36m,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"Bernd Eichinger,Joachim Fest,Traudl Junge","Bruno Ganz,Alexandra Maria,Ulrich Matthes"
127. Taksi Şoförü,8.2,1976,1h 54m,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,Paul Schrader,"Robert De,Jodie Foster,Cybill Shepherd"
128. Dangal,8.3,2016,2h 41m,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari,"Piyush Gupta,Shreyas Jain,Nikhil Mehrotra","Aamir Khan,Sakshi Tanwar,Fatima Sana"
129. Batman Başlıyor,8.2,2005,2h 20m,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"Bob Kane,David S,Christopher Nolan","Christian Bale,Michael Caine,Ken Watanabe"
130. Birkaç Dolar İçin,8.2,1965,2h 12m,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,Sergio Leone,"Sergio Leone,Fulvio Morsella,Luciano Vincenzoni","Clint Eastwood,Lee Van,Gian Maria"
131. Para Avcısı,8.2,2013,3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Terence Winter,Jordan Belfort","Leonardo Di,Jonah Hill,Margot Robbie"
132. Yeşil Rehber,8.2,2018,2h 10m,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Nick Vallelonga,Brian Hayes Currie,Peter Farrelly","Viggo Mortensen,Mahershala Ali,Linda Cardellini"
133. Bazıları Sıcak Sever,8.2,1959,2h 1m,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"Billy Wilder,Robert Thoeren","Marilyn Monroe,Tony Curtis,Jack Lemmon"
134. Yumurcak,8.2,1921,1h 8m,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,Charles Chaplin,"Charles Chaplin,Edna Purviance,Jackie Coogan"
135. Truman Show,8.2,1998,1h 43m,"An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.",Peter Weir,Andrew Niccol,"Jim Carrey,Ed Harris,Laura Linney"
136. Nürenberg Duruşması,8.3,1961,2h 59m,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer,"Abby Mann,Montgomery Clift,Charles Dorat","Spencer Tracy,Burt Lancaster,Richard Widmark"
137. Baba,8.2,2020,1h 37m,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,"Christopher Hampton,Florian Zeller","Anthony Hopkins,Olivia Colman,Mark Gatiss"
138. Perde Açılıyor,8.2,1950,2h 18m,Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.,Joseph L. Mankiewicz,"Joseph L,Mary Orr","Bette Davis,Anne Baxter,George Sanders"
139. Zindan Adası,8.2,2010,2h 18m,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Martin Scorsese,"Laeta Kalogridis,Dennis Lehane","Leonardo Di,Emily Mortimer,Mark Ruffalo"
140. Kan Dökülecek,8.2,2007,2h 38m,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Paul Thomas Anderson,Upton Sinclair","Daniel Day,Paul Dano"
141. Jurassic Park,8.2,1993,2h 7m,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg,"Michael Crichton,David Koepp","Sam Neill,Laura Dern,Jeff Goldblum"
142. Top Gun: Maverick,8.2,2022,2h 10m,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski,"Jim Cash,Jack Epps Jr,Peter Craig","Tom Cruise,Jennifer Connelly,Miles Teller"
