top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
212. Tokyo Hikâyesi,8.1,1953,2h 16m,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,,Chieko Higashiyama
213. Rocky,8.1,1976,2h,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young"
214. Büyük Lebowski,8.1,1998,1h 57m,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,"Ethan Coen,Joel Coen","Jeff Bridges,John Goodman,Julianne Moore"
215. Yedinci Mühür,8.1,1957,1h 36m,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Ingmar Bergman,"Gunnar Bj,Bengt Ekerot"
216. Gizli Dünya,8.1,2015,1h 58m,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,Emma Donoghue,"Brie Larson,Jacob Tremblay,Sean Bridgers"
217. Spotlight,8.1,2015,2h 9m,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Josh Singer,Tom Mc","Mark Ruffalo,Michael Keaton,Rachel Mc"
218. Terminatör: Yok Edici,8.1,1984,1h 47m,"A cyborg assassin from the future attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction.",James Cameron,"James Cameron,Gale Anne Hurd,William Wisher","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn"
219. Ruanda Oteli,8.1,2004,2h 1m,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"Keir Pearson,Terry George","Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
220. Müfreze,8.1,1986,2h,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Oliver Stone,"Charlie Sheen,Tom Berenger,Willem Dafoe"
221. Protesto - Nefret,8.1,1995,1h 38m,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,Mathieu Kassovitz,"Vincent Cassel,Hubert Kound"
222. Karayıp Korsanları: Siyah İnci'nin Laneti,8.1,2003,2h 23m,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"Ted Elliott,Terry Rossio,Stuart Beattie","Johnny Depp,Geoffrey Rush,Orlando Bloom"
223. Gün Batmadan,8.1,2004,1h 20m,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,"Richard Linklater,Julie Delpy,Ethan Hawke","Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
224. La passion de Jeanne d'Arc,8.1,1928,1h 50m,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"Joseph Delteil,Carl Theodor Dreyer","Maria Falconetti,Eugene Silvain"
225. Hayatımızın En Güzel Yılları,8.1,1946,2h 50m,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,"Robert E,Kinlay Kantor","Myrna Loy,Dana Andrews,Fredric March"
226. Jai Bhim,8.7,2021,2h 44m,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,Rajendra Sapre,"Lijo Mol,Manikandan K"
227. Şeytan,8.1,1973,2h 2m,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,William Peter Blatty,"Ellen Burstyn,Linda Blair"
228. Zafere Hücum,8.1,2013,2h 3m,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",Ron Howard,Peter Morgan,"Daniel Br,Chris Hemsworth,Olivia Wilde"
229. İnanılmaz Aile,8.0,2004,1h 55m,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,Brad Bird,"Craig T,Samuel L,Holly Hunter"
230. Oz Büyücüsü,8.1,1939,1h 42m,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Victor Fleming,"Noel Langley,Florence Ryerson,Edgar Allan Woolf","Judy Garland,Frank Morgan,Ray Bolger"
231. Şebeke,8.1,1976,2h 1m,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Sidney Lumet,Paddy Chayefsky,"Faye Dunaway,William Holden,Peter Finch"
232. Benimle Kal,8.1,1986,1h 29m,A writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,"Stephen King,Raynold Gideon,Bruce A","Wil Wheaton,River Phoenix,Corey Feldman"
233. Hachi: Bir Köpeğin Hikâyesi,8.1,2009,1h 33m,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",Lasse Hallström,"Stephen P,Kaneto Shind","Richard Gere,Joan Allen,Hiroyuki Tagawa"
234. Neşeli günler,8.1,1965,2h 52m,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"Georg Hurdalek,Howard Lindsay,Russel Crouse","Julie Andrews,Christopher Plummer,Eleanor Parker"
235. Babam ve Oğlum,8.2,2005,1h 48m,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,,Fikret Kuskan
